baslik;fiyat;no;tarih;m2net;m2burut;odasayisi;binayasi;bulundugukat;katsayisi;isitma;banyo;balkon;site;siteadi;kredi;kimden;konum;aciklama;il;ilce;mahalle
"TÜRKER DEN KÝRACILI SATILIK";"150.000 TL";697572308;"03 Haziran 2019";65;70;2+0;3;"Zemin Kat";3;"Doðalgaz (Kombi)";1;Var;Hayýr;;Evet;"Emlak Ofisinden";38.381029060294644,27.178470566868782;"<p>Buca kuruçeþme de 2+0 DOÐALGAZLI 1000 TL KÝRACILI GÝRÝÞ KATI DAÝRE DAÝREMÝZ ÖGRENCÝ YURTLARI YANINDA 70 METREKARE UYGUN <u>FÝ</u>YATLIDIR</p>";Ýzmir;Buca;"Atatürk Mh."
"Þirinyer Vergi Dairesi Saadet Emir Sokaðý Otoparklý 3+1 140 m2";"275.000 TL";627649136;"03 Haziran 2019";140;140;3+1;"21-25 arasý";4;4;"Doðalgaz (Kombi)";1;Var;Hayýr;;Evet;Sahibinden;38.39355237968398,27.157119760035357;"<p><font size=""3"" color=""#ff0000""><b>Dairemiz 3+1 140 m2  oldukça geniþ ve kullanýþlýdýr sokak cephesi güney cepheye bakmaktadýr daireye özel otoparký mevcuttur doðalgazlýdýr yerler laminat ve çelik kapý mevcuttur dairemizin iç yapýsý Klasik tip yapýdan oluþmaktadýr dairemzin çatýsý izolasyonlu kiremit altý membran osb döþelidir komple bu sene yenilenmiþtir kesinlikle ça</b><span><b>tý su alma sorunu yoktur  Konum olarak Þirinyer iþçievleri lambalarýndan dönüldüðünde saðdan 3. sokaktýr Þirinyerin merkezi konumundadýr ulaþým alýþveriþ pazar yeri 5 dk dýr  </b></span></font></p>";Ýzmir;Buca;"Yiðitler Mh."
"Kozaðaç Mh. Satýlýk 2+0 Daire";"185.000 TL";697549050;"03 Haziran 2019";60;70;2+0;;"Giriþ Katý";4;"Doðalgaz (Kombi)";1;Var;Hayýr;;Evet;Sahibinden;38.3788919,27.1711422;"<p>Buca merkeze yakýn, sýfýr daire satýlýktýr. Konut kredisi çekilerek alýndý fakat, maddi durumlar sebebi ile satmak zorundayým. Ev, eþyalý olarak verilecektir. Muhit olarak Buca nýn en güzel semtlerinden biridir. Maddi durum problemi olmasaydý satmayý düþünmüyordum. <span style=""color: rgb(0, 0, 0);font-size: 14px;background-color: rgb(255, 255, 255);float: none;"">Mutfakta bir balkon mevcut. Diðer iki odada,  bir daire ile ortak kullanýmlý bahçe alan mevcuttur. </span><br /><br /></p><p><br /></p><p><br /></p>";Ýzmir;Buca;"Kozaðaç Mh."
"Hürriyette kaçýrýlmayacak daire";"230.000 TL";697553730;"03 Haziran 2019";110;110;2+1;"5-10 arasý";3;3;"Doðalgaz (Kombi)";1;Var;Hayýr;;Evet;Sahibinden;38.395151,27.1412401;"<p>110 m2 doðal gazlý 2 adat balkon 2+1, wc 2 adet, 3 katlý binanýn 3.katý açýk çatý mebran ve taþ döþeli sýfýr sýkýntý.kilerde vardýr. Piyasa ya göre fiyat süper. P. Payý vardýr. Doðru orantýlar da.</p>";Ýzmir;Buca;"Hürriyet Mh."
"Sahibinden sýfýr lüx daire";"330.000 TL";697545959;"03 Haziran 2019";90;100;2+1;;4;4;"Doðalgaz (Kombi)";1;Var;Hayýr;;Evet;Sahibinden;38.375832344265106,27.167768217623234;"<p>Dairemiz buca Yenigün Mahallesinde sýfýr lüx daire dir. fotoðraflar da da görüldüðü gibi bir kaç haftaya kadar petek,kombi, laminat parke gibi tamamlanýp anahtar teslim hale gelecektir.avizenizi takip gecilebilecektir.Binamiza ulaþým sýkýntýsýz durak hemen binanýn önündedir. Bilindiði gibi buca nýn en nezih temiz mahallelerindendir.Her katta spor salonu olacaktýr. </p>";Ýzmir;Buca;"Yenigün Mh."
"ÞÝRÝNYER HÜRRÝYET MH.SÝNDE SATILIK 3+1 LÜX ARAKAT DAÝRE";"385.000 TL";689639617;"03 Haziran 2019";100;110;3+1;2;2;4;"Doðalgaz (Kombi)";1;Var;Hayýr;;Evet;"Emlak Ofisinden";38.39870667116782,27.147622498702958;"<p></p><p></p><p><br /></p><p><br /></p><p style=""font-size: 14px;color: rgb(0, 0, 0);background-color: rgb(255, 255, 255);text-align: center;""><b><i><font size=""5"">HÜRRÝYET  MAHALLESÝ&apos;NDE </font></i></b></p><p style=""font-size: 14px;color: rgb(0, 0, 0);background-color: rgb(255, 255, 255);text-align: center;""><b><i><font size=""5"">3+1  NET KULLANIM 100M2 ULTRALÜX </font></i></b></p><p style=""font-size: 14px;color: rgb(0, 0, 0);background-color: rgb(255, 255, 255);text-align: center;""><b><i><font size=""5"">D.GAZLI</font></i></b></p><p style=""font-size: 14px;color: rgb(0, 0, 0);background-color: rgb(255, 255, 255);text-align: center;""><b><i><font size=""5"">K.MUTFAK </font></i></b></p><p style=""font-size: 14px;color: rgb(0, 0, 0);background-color: rgb(255, 255, 255);text-align: center;""><b><i><font size=""5"">KAPALI OTAPARKA SAHÝPTÝR</font></i></b></p><p style=""font-size: 14px;color: rgb(0, 0, 0);background-color: rgb(255, 255, 255);text-align: center;""><b><i><font size=""5"">BANKAYA,ÝLK VE ORTA ÖGRETÝME,UCAN YOLA,SEMT PAZARINA TOPLU ULAÞIMA 5 DK MESAFEDEDÝR.</font></i></b></p><p style=""font-size: 14px;color: rgb(0, 0, 0);background-color: rgb(255, 255, 255);text-align: center;""><b><i><font size=""5"">TAMAMEN BÝRÝNCÝ SINIF MALZEME VE ÝÞÇÝLÝK </font></i></b></p><p style=""font-size: 14px;color: rgb(0, 0, 0);background-color: rgb(255, 255, 255);text-align: center;""><b><i><font size=""5"">DEPREM YÖNETMELÝÐÝNE VE KONUT KREDÝSÝNE UYGUN <br /><br />4 KATLI BÝNANIN 2 KATIDIR <br /><br />BÝNA SIFIR OLUP BÝNA ÝCERÝSÝNE DOGALGAZ PETEKLERÝ BAGLANMAMIÞTIR.</font></i></b></p><div style=""color: rgb(0, 0, 0);font-size: 14px;background-color: rgb(255, 255, 255);text-align: center;""><br />";Ýzmir;Buca;"Hürriyet Mh."
"Þirinyer de Merkezi Lüx 3+1 Daire";"545.000 TL";697542769;"03 Haziran 2019";125;140;3+1;1;3;3;"Doðalgaz (Kombi)";2;Var;Hayýr;;Evet;Sahibinden;38.39017497298677,27.157762572169304;"Evimiz þirinyer Menderes caddesindeki Koton. Maðazasýnýn  2 arka sokaðýnda 3+1 olup, Doðalgazlýdýr. K<br />1 yýllýk bina olup Asansörlüdür. 3 Cephe lidir. <br />Ebevyn banyoludur. Salon ve yatakodasýnda General Marka klima mevcuttur. Kileri mevcuttur, binanýn hem kapalý hemde açýk otoparký mevcuttur. Binamýz 3 katlý olup dairemiz 3. kattadýr ve bina çatýlýdýr.<br />Evimizin tamamý otomotik panjurludur.";Ýzmir;Buca;"Efeler Mah."
"Sahibinden acil";"179.000 TL";697542728;"03 Haziran 2019";75;80;2+1;"5-10 arasý";"Kot 1";5;"Doðalgaz (Kombi)";1;Var;Hayýr;;Evet;Sahibinden;38.37111628789639,27.190276645123962;"<p>sahibinden balkonlu <u>doðalgazlý</u> açýk mutfak,çelik kapýlý odalar laminat parke li,<u>kot</u> dairedir ancak ara kattýr ayný zamanda.ulaþým sorunu olmayan Týnaztepe hastanesine ve kampüse yürüme mesafesindedir.</p>";Ýzmir;Buca;"Kuruçeþme Mh."
"Buca Þirinyer Hürriyet Mh.Satýlýk 2+1 70 m2 Sýfýr Arakat Daire";"205.000 TL";599624668;"03 Haziran 2019";65;70;2+1;;2;4;"Doðalgaz (Kombi)";1;Var;Hayýr;;Evet;"Emlak Ofisinden";38.39884080921061,27.14830377979274;"<b><strong style=""color: rgb(230, 0, 0);""><u><font size=""6"">TURYAP ÞÝRÝNYER TEMSÝLCÝLÝÐÝ&apos;NDEN SATILIK</font></u></strong></b><p style=""text-align: center;color: rgb(81, 81, 81);font-size: 11px;""><br /></p><b><span style=""color: rgb(68, 68, 68);""><font size=""5"">BUCA ÞÝRÝNYER HÜRRÝYET MAHALLESÝNDE 2 ODA, 1 SALON, DOÐALGAZLI, AYDINLIK, FERAH, SIFIR ARAKAT DAÝRE.</font></span></b><font size=""5""><b><span style=""color: rgb(68, 68, 68);"">DAÝREMÝZ KONUM OLARAK ÞÝRÝNYER METRO ÝSTASYONU, SEMT PAZARI, ALIÞVERÝÞ MERKEZLERÝ VE OTOBÜS DURAKLARINA YÜRÜYÜÞ MESAFESÝNDEDÝR.</span></b><br /></font><font size=""5""><b><span style=""color: rgb(230, 0, 0);"">DAÝREDE HERHANGÝ BÝR KREDÝ KISITLAMASI BULUNMAMAKTADIR.</span></b><br /></font><font size=""5""><b><span style=""color: rgb(68, 68, 68);"">AYRINTILI BÝLGÝ VE ALTERNATÝF SEÇENEKLERÝMÝZ ÝÇÝN LÜTFEN GAYRÝMENKUL DANIÞMANLARIMIZ ÝLE ÝRTÝBATA GEÇÝNÝZ.</span></b><br /></font><b><font size=""5""><br /></font></b><span style=""color: rgb(230, 0, 0);""><em><u><b><font size=""6"">DAÝRENÝN SATIÞINDA TEK YETKÝLÝ;</font></b></u></em></span><b><font size=""6""><br /></font></b><span style=""color: rgb(230, 0, 0);""><em><u><b><font size=""6"">TURYAP ÞÝRÝNYER TEMSÝLCÝLÝÐÝ&apos;DÝR.</font></b></u></em></span><p><b><font size=""6""><br /></font></b></p><p><br /></p>";Ýzmir;Buca;"Hürriyet Mh."
"Site Ýçinde Havuzlu, Kapalý ve Açýk Otoparklý Daire";"540.000 TL";666028187;"03 Haziran 2019";124;156;3+1;;5;11;"Merkezi (Pay Ölçer)";2;Var;;"Lidya Concept";Evet;"Ýnþaat Firmasýndan";38.36846314145508,27.16960249633789;"<p><br /><br /><span style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);float: none;"">BUCA ÇAMLIKULE&apos; DE YENÝ BÝR YAÞAM BAÞLIYOR.</span><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><span style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);float: none;"">EVLER; ÝÇÝNDE OTURULSUN DÝYE YAPILIR, KARÞIDAN SEYREDÝLSÝN DÝYE DEÐÝL. BU SEBEPLE RAHATLIÐI, YAÞANABÝLÝRLÝÐÝ VE KALÝTEYÝ SÝZLERLE BULUÞTURMAK ÝÇÝN LÝDYA EVLERÝNÝ HUZURLARINIZA SUNUYORUZ.</span><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><span style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);float: none;"">DÜÞÜNDÜÐÜNÜZ, HAYALÝNÝ KURDUÐUNUZ EVLERÝ GEZMEK ÝSTERSENÝZ SÝZLERE BÝR TELEFON KADAR YAKINIZ.</span><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><span style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);float: none;"">GAYRÝMENKULÜN ÖZELLÝKLERÝ</span><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><span style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);float: none;"">1) Oda Sayýsý: 3 + 1, Ebeveyn banyolu</span><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><span style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);float: none;"">2) Daire Brüt Alaný: 156 m2</span><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><span style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);float: none;"">- Daire Net Kullaným Alaný: 124 m2</span><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><span style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);float: none;"">- Salon: 32 m2 - Mutfak: 14 m2 - Yatak Odasý: 18 m2 - Çocuk odasý: 11 m2 - Oturma odasý: 15 m2</span><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><span style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);float: none;"">- Genel Banyo: 7 m2 - Ebeveyn Banyosu: 4 m2 - Balkon 1: 9 m2 - Balkon 2: 2 m2 - Hol: 14 m2</span><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><span style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);float: none;"">3) Daire Tipi: Site içinde apartman dairesidir.</span><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><span style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);float: none;"">- 11 katlý binanýn 5. katýndadýr.</span><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><span style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);float: none;"">- Her katta 2 daireden toplam 21 adet daire vardýr.</span><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><span style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);float: none;"">4) Daire Özellikleri: Merkezi sistem doðalgaz aktif kullanýlmaktadýr. Mutfakta 3&apos;lü ankastre set vardýr. Tüm pencerelerde elektrikli panjur vardýr.</span><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><span style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);float: none;"">Bina Özellikleri: Açýk Otopark, Çift Asansör, 7/24 Güvenlik, Çocuk Oyun Parký, Spor Salonu, Yangýn Merdiveni</span><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><span style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);float: none;"">5) Konumu, Yeri ve Yakýnlýðý: AVM&apos;lere 1 dk, Okul ve Kolejlere 5 dk,</span><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><span style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);float: none;"">Sosyal yaþam açýsýndan ihtiyaç duyduðunuz market, pazar, hastane, saðlýk ocaðý yürüme mesafesindedir.</span><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><span style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);float: none;"">6) Krediye Uygundur. 250.000  &apos;ye kadar kredi çekebilirsiniz.</span><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><span style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);float: none;"">7) Tapu masrafý %3&apos;tür.</span><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><span style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);float: none;"">Fiyat teklifleri deðerlendirilecektir.</span><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><span style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);float: none;"">Sitede son 15 daire satýlýktýr. Fiyat aralýklarý 500.000 - 600.000  arasýndadýr.</span><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><br style=""color: rgb(104, 108, 118);font-size: 14px;background-color: rgb(255, 255, 255);"" /><font color=""#686c76"">Örnek Dairemizi Cumartesi ve Pazar günleri de gezebilirsiniz.</font><br /><br /><br /></p>";Ýzmir;Buca;"Çamlýkule Mh."
